,In-State-Private (ISP),Out-of-State (OOS)
1994-1995,1,0
1995-1996,5,6
1996-1997,40,8
1997-1998,78,25
1998-1999,154,55
1999-2000,174,89
2000-2001,175,89
2001-2002,211,152
2002-2003,192,181
2003-2004,211,206
2004-2005,210,225
2005-2006,212,200
2006-2007,207,262
2007-2008,346,268
2008-2009,251,290
2009-2010,269,307
2010-2011,344,324
2011-2012,316,304
2012-2013,386,325
2013-2014,294,304
2014-2015,366,305
2015-2016,308,293
2016-2017,294,264
2017-2018,235,248
2018-2019,191,284
2019-2020,171,255
2020-2021,159,225
2021-2022,115,194
