,College Label,Student Count
Spring 2013.1,Rio Hondo,0.04700000000000001
Summer 2013.1,Rio Hondo,0.041699999999999994
Fall 2013.1,Rio Hondo,0.039900000000000005
Spring 2014.1,Rio Hondo,0.039799999999999995
Summer 2014.1,Rio Hondo,0.0381
Fall 2014.1,Rio Hondo,0.037599999999999995
Spring 2015.1,Rio Hondo,0.0362
Summer 2015.1,Rio Hondo,0.03590000000000001
Fall 2015.1,Rio Hondo,0.0359
Spring 2016.1,Rio Hondo,0.0353
Summer 2016.1,Rio Hondo,0.0372
Fall 2016.1,Rio Hondo,0.0356
Spring 2017.1,Rio Hondo,0.0357
Summer 2017.1,Rio Hondo,0.0363
Fall 2017.1,Rio Hondo,0.0378
Spring 2018.1,Rio Hondo,0.0395
Summer 2018.1,Rio Hondo,0.0383
Fall 2018.1,Rio Hondo,0.038299999999999994
Spring 2019.1,Rio Hondo,0.038200000000000005
Summer 2019.1,Rio Hondo,0.035300000000000005
Fall 2019.1,Rio Hondo,0.0392
Spring 2020.1,Rio Hondo,0.039900000000000005
Summer 2020.1,Rio Hondo,0.04
Fall 2020.1,Rio Hondo,0.0418
Spring 2021.1,Rio Hondo,0.03950000000000001
Summer 2021.1,Rio Hondo,0.040400000000000005
Fall 2021.1,Rio Hondo,0.036300000000000006
Spring 2022.1,Rio Hondo,0.037399999999999996
Summer 2022.1,Rio Hondo,0.030600000000000002
Fall 2022.1,Rio Hondo,0.0286
Winter 2013.1,Glendale,0.0751
Spring 2013.1,Glendale,0.33919999999999995
Summer 2013.1,Glendale,0.5325
Fall 2013.1,Glendale,0.34209999999999996
Winter 2014.1,Glendale,0.37429999999999997
Spring 2014.1,Glendale,0.3508
Summer 2014.1,Glendale,0.3407
Fall 2014.1,Glendale,0.3494
Winter 2015.1,Glendale,0.3844
Spring 2015.1,Glendale,0.35459999999999997
Summer 2015.1,Glendale,0.3378
Fall 2015.1,Glendale,0.3364
Winter 2016.1,Glendale,0.3587
Spring 2016.1,Glendale,0.34770000000000006
Summer 2016.1,Glendale,0.33849999999999997
Fall 2016.1,Glendale,0.3371
Winter 2017.1,Glendale,0.3728
Spring 2017.1,Glendale,0.3506
Summer 2017.1,Glendale,0.3459
Fall 2017.1,Glendale,0.3443
Winter 2018.1,Glendale,0.38029999999999997
Spring 2018.1,Glendale,0.3514
Summer 2018.1,Glendale,0.32699999999999996
Fall 2018.1,Glendale,0.3361
Winter 2019.1,Glendale,0.36330000000000007
Spring 2019.1,Glendale,0.3432
Summer 2019.1,Glendale,0.31129999999999997
Fall 2019.1,Glendale,0.3111
Winter 2020.1,Glendale,0.31499999999999995
Spring 2020.1,Glendale,0.29690000000000005
Summer 2020.1,Glendale,0.2549
Fall 2020.1,Glendale,0.2596
Winter 2021.1,Glendale,0.2736
Spring 2021.1,Glendale,0.2639
Summer 2021.1,Glendale,0.22329999999999997
Fall 2021.1,Glendale,0.24320000000000003
Winter 2022.1,Glendale,0.2543
Spring 2022.1,Glendale,0.2472
Summer 2022.1,Glendale,0.2064
Fall 2022.1,Glendale,0.22390000000000002
Winter 2013.1,East LA,0.12380000000000001
Spring 2013.1,East LA,0.0933
Summer 2013.1,East LA,0.08879999999999999
Fall 2013.1,East LA,0.08700000000000001
Winter 2014.1,East LA,0.105
Spring 2014.1,East LA,0.096
Summer 2014.1,East LA,0.0862
Fall 2014.1,East LA,0.0863
Winter 2015.1,East LA,0.0857
Spring 2015.1,East LA,0.08679999999999999
Summer 2015.1,East LA,0.0705
Fall 2015.1,East LA,0.0814
Winter 2016.1,East LA,0.09130000000000002
Spring 2016.1,East LA,0.0849
Summer 2016.1,East LA,0.0711
Fall 2016.1,East LA,0.08360000000000001
Winter 2017.1,East LA,0.07900000000000001
Spring 2017.1,East LA,0.0837
Summer 2017.1,East LA,0.0746
Fall 2017.1,East LA,0.0854
Winter 2018.1,East LA,0.0976
Spring 2018.1,East LA,0.0842
Summer 2018.1,East LA,0.0709
Fall 2018.1,East LA,0.07440000000000001
Winter 2019.1,East LA,0.0917
Spring 2019.1,East LA,0.0735
Summer 2019.1,East LA,0.0704
Fall 2019.1,East LA,0.07210000000000001
Winter 2020.1,East LA,0.0857
Spring 2020.1,East LA,0.0705
Summer 2020.1,East LA,0.0867
Fall 2020.1,East LA,0.0702
Winter 2021.1,East LA,0.0857
Spring 2021.1,East LA,0.0706
Summer 2021.1,East LA,0.0668
Fall 2021.1,East LA,0.061
Winter 2022.1,East LA,0.08410000000000001
Spring 2022.1,East LA,0.062200000000000005
Summer 2022.1,East LA,0.0455
Fall 2022.1,East LA,0.0501
Spring 2013.1,Pasadena,0.1834
Summer 2013.1,Pasadena,0.18269999999999997
Fall 2013.1,Pasadena,0.1773
Spring 2014.1,Pasadena,0.1808
Summer 2014.1,Pasadena,0.17759999999999998
Fall 2014.1,Pasadena,0.1706
Spring 2015.1,Pasadena,0.1784
Summer 2015.1,Pasadena,0.1774
Fall 2015.1,Pasadena,0.167
Spring 2016.1,Pasadena,0.1774
Summer 2016.1,Pasadena,0.1723
Fall 2016.1,Pasadena,0.1612
Winter 2017.1,Pasadena,0.1821
Spring 2017.1,Pasadena,0.1689
Summer 2017.1,Pasadena,0.1585
Fall 2017.1,Pasadena,0.1553
Winter 2018.1,Pasadena,0.1729
Spring 2018.1,Pasadena,0.16060000000000002
Summer 2018.1,Pasadena,0.1546
Fall 2018.1,Pasadena,0.1479
Winter 2019.1,Pasadena,0.1671
Spring 2019.1,Pasadena,0.153
Summer 2019.1,Pasadena,0.1396
Fall 2019.1,Pasadena,0.1409
Winter 2020.1,Pasadena,0.1629
Spring 2020.1,Pasadena,0.1398
Summer 2020.1,Pasadena,0.12390000000000001
Fall 2020.1,Pasadena,0.1208
Winter 2021.1,Pasadena,0.1356
Spring 2021.1,Pasadena,0.1175
Summer 2021.1,Pasadena,0.1021
Fall 2021.1,Pasadena,0.11239999999999999
Spring 2022.1,Pasadena,0.12209999999999999
Summer 2022.1,Pasadena,0.11939999999999999
Fall 2022.1,Pasadena,0.1052
