College Name,Award Type,Annual 1992-1993    ,Annual 1993-1994    ,Annual 1994-1995    ,Annual 1995-1996    ,Annual 1996-1997    ,Annual 1997-1998    ,Annual 1998-1999    ,Annual 1999-2000,Annual 2000-2001,Annual 2001-2002,Annual 2002-2003,Annual 2003-2004,Annual 2004-2005,Annual 2005-2006,Annual 2006-2007,Annual 2007-2008,Annual 2008-2009,Annual 2009-2010,Annual 2010-2011,Annual 2011-2012,Annual 2012-2013,Annual 2013-2014,Annual 2014-2015,Annual 2015-2016,Annual 2016-2017,Annual 2017-2018,Annual 2018-2019,Annual 2019-2020,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023
East LA,Associate in Science for Transfer (A.S.-T) Degree           ,,,,,,,,,,,,,,,,,,,,,,2,40,146,249,389,573,683,947,825,610
East LA,Associate in Arts for Transfer (A.A.-T) Degree              ,,,,,,,,,,,,,,,,,,,,1,25,78,177,311,416,479,630,737,943,794,754
East LA,Associate of Science (A.S.) degree                          ,19,25,20,18,26,15,24,112,81,88,76,119,122,160,181,173,184,170,139,229,184,170,205,172,171,132,140,134,146,144,143
East LA,Associate of Arts (A.A.) degree                             ,486,546,619,626,706,733,802,953,827,924,935,"1,089","1,132","1,026","1,038","1,027","1,116",900,"1,052","1,339","1,406","1,395","1,394","1,412","1,325","1,168","1,360","1,492","2,018","1,923","1,777"
East LA,Certificate requiring 60+ semester units                    ,,,,,,,,21,23,24,9,13,18,11,19,15,37,32,22,2,10,4,5,1,19,14,18,6,15,13,14
East LA,Certificate requiring 30 to < 60 semester units             ,52,83,79,74,96,211,261,118,131,142,166,144,126,126,169,119,486,495,684,605,646,747,836,"1,084","1,108","1,333","1,584","1,541","2,130","1,830","1,474"
East LA,Certificate requiring 18 to < 30 semester units             ,,,,,,,,41,60,82,31,44,30,46,37,46,31,49,39,42,65,49,96,92,95,96,,,,,
East LA,Certificate requiring 16 to fewer than 30 semester units    ,,,,,,,,,,,,,,,,,,,,,,,,,,,161,158,239,524,831
East LA,Certificate requiring 12 to < 18 units                      ,,,,,,,,,,,,,,,,,,,,225,337,299,316,383,256,321,,,,,
East LA,Certificate requiring 8 to fewer than 16 semester units     ,,,,,,,,,,,,,,,,,,,,,,,,,,,220,77,42,44,55
East LA,Certificate requiring 6 to < 18 semester units              ,,,,,,,,19,450,986,789,300,542,"1,033","2,095","1,522","1,042","1,015",656,578,860,649,908,"1,552","1,714","2,169","1,434","1,011",566,544,505
East LA,"Other Credit Award, < 6 semester units                      ",,,,,,,,97,7,92,138,166,186,124,197,177,224,323,357,291,340,347,320,500,366,,866,708,274,155,94
East LA,Noncredit award requiring from 480 to < 960 hours           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
East LA,Noncredit award requiring from 192 to < 288 hours           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,24,67,34
East LA,Noncredit award requiring from 144 to < 192 hours           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,80,472,273
East LA,Noncredit award requiring from 96 to < 144 hours            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,61,139
East LA,Noncredit award requiring from 48 to < 96 hours             ,,,,,,,,,,,,,,,,,,,,,,,,,,,116,625,333,675,361
East LA,Noncredit award requiring < 48 hours                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,42,20
